Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards
48945,"87449 John Meadows
West Michelleville, PA 83800",590,81,Industrial,8,Good,Brick,"Sprinklers, Alarms","Wide Doorways, Ramps, Elevator, None",None,Residential,Occupied,None
48946,"537 Montes Drive
Elizabethhaven, OH 93944",8052,91,Commercial,7,Excellent,Brick,Sprinklers,"None, Wide Doorways",Picture point.,Residential,Vacant,Asbestos
48947,"080 Stephanie Neck Apt. 754
East James, CA 42484",2705,57,Residential,8,Poor,Steel,Sprinklers,Wide Doorways,Energy.,Office,Vacant,None
48948,"68240 Cynthia Plaza
Taylorbury, MO 31279",9597,21,Industrial,6,Fair,Brick,Extinguishers,"Elevator, Ramps, Wide Doorways",None,Residential,Vacant,None
48949,"941 Heather Estates
Marshallview, NY 19516",1513,73,Industrial,7,Good,Brick,"Sprinklers, Extinguishers, Alarms","Ramps, Wide Doorways, None",None,Residential,Vacant,Lead Paint
48950,"186 Medina Oval Apt. 016
Katrinaview, NH 74211",9093,39,Commercial,5,Poor,Wood,"Extinguishers, Alarms, Sprinklers","Ramps, None, Wide Doorways, Elevator",Bag real.,Residential,Vacant,None
48951,"35450 Moore Rapid Apt. 965
Port Zacharyside, NH 67774",505,4,Commercial,10,Poor,Steel,"Sprinklers, Extinguishers, Alarms",Elevator,None,Office,Occupied,Mold
48952,"7245 Mclaughlin Squares Suite 496
Lake Natashachester, AL 57232",9996,93,Residential,2,Fair,Wood,"Sprinklers, Alarms","Wide Doorways, Ramps, Elevator, None",Just direction eat.,Office,Occupied,None
48953,"6155 Vincent Key Apt. 835
South Moniquechester, MO 56876",9187,2,Commercial,2,Excellent,Wood,"Alarms, Sprinklers","Wide Doorways, Ramps",Treat house.,Residential,Vacant,Lead Paint
48954,"013 Mathew Harbor Suite 961
East Jasonchester, AK 54648",8814,14,Commercial,7,Excellent,Steel,Sprinklers,"None, Elevator",Term particularly mission.,Residential,Vacant,None
48955,"81747 Shaw Port
Richardton, KY 35621",8709,27,Commercial,7,Excellent,Steel,"Extinguishers, Alarms, Sprinklers","None, Wide Doorways, Ramps, Elevator",Throw student note.,Residential,Vacant,Lead Paint
48956,"Unit 6775 Box 2013
DPO AA 71812",6647,91,Residential,9,Good,Concrete,"Alarms, Sprinklers, Extinguishers",Ramps,When girl simply.,Retail,Occupied,Asbestos
48957,"29252 Williams Ports Apt. 550
Lake Michaelburgh, UT 06303",1152,53,Residential,9,Fair,Concrete,"Sprinklers, Extinguishers, Alarms",Elevator,None,Warehouse,Vacant,None
48958,"96694 Newman Meadow
South Ryanville, AZ 28671",6026,65,Industrial,10,Fair,Steel,"Sprinklers, Alarms, Extinguishers","None, Wide Doorways",Nearly market rate.,Office,Vacant,None
48959,"70130 Randall Ford Apt. 441
Vernontown, LA 85465",6643,10,Commercial,6,Good,Brick,"Sprinklers, Extinguishers, Alarms","Elevator, Ramps, Wide Doorways, None",Individual little daughter.,Residential,Vacant,Asbestos
48960,"5167 Patterson Way
Gilbertshire, MO 37207",1007,69,Residential,3,Poor,Brick,"Sprinklers, Alarms, Extinguishers","None, Wide Doorways, Ramps, Elevator",None,Office,Vacant,None
48961,"15986 Michael Lane
South Joseph, CA 59622",9294,83,Residential,5,Excellent,Steel,Sprinklers,"Wide Doorways, Elevator",None,Office,Vacant,Mold
48962,"21431 Louis Coves Apt. 457
Port Jose, DE 85078",9015,96,Industrial,8,Fair,Wood,"Sprinklers, Extinguishers, Alarms","Wide Doorways, None",Standard account woman.,Residential,Vacant,None
48963,"1216 Sonya Pass Suite 012
South Ariana, FL 96181",9493,7,Commercial,6,Excellent,Brick,"Extinguishers, Sprinklers, Alarms","Elevator, None",Expect some newspaper.,Office,Vacant,None
48964,"840 Lori Land
North Cassandratown, WV 96877",1676,82,Commercial,5,Good,Brick,"Alarms, Extinguishers","Ramps, None",None,Warehouse,Occupied,None
48965,"52962 Heather Parks
Webbburgh, OR 59140",8697,74,Commercial,4,Poor,Concrete,"Alarms, Extinguishers, Sprinklers","None, Ramps, Wide Doorways, Elevator",Statement inside.,Warehouse,Occupied,Mold
48966,"PSC 6885, Box 7862
APO AP 76211",4589,18,Residential,5,Fair,Wood,"Alarms, Extinguishers, Sprinklers","Elevator, Ramps, Wide Doorways",Quite yourself kid.,Retail,Vacant,None
48967,"60741 Yu Lake
West Christopher, MT 90572",1969,7,Commercial,6,Excellent,Wood,Sprinklers,None,Themselves become.,Retail,Vacant,Asbestos
48968,"05068 Lindsey Ridges Suite 349
Evansstad, ID 67428",8415,44,Commercial,8,Good,Steel,"Sprinklers, Extinguishers",Elevator,None,Warehouse,Vacant,Lead Paint
48969,"84680 Landry Ways Suite 250
East Benjaminside, KY 86894",6881,50,Commercial,6,Excellent,Steel,"Extinguishers, Alarms","Ramps, Elevator, None",None,Retail,Occupied,None
48970,"1547 Thomas Spring Apt. 953
Port Rebecca, ME 49275",5559,26,Industrial,7,Good,Concrete,"Alarms, Extinguishers, Sprinklers","Ramps, Elevator",None,Office,Occupied,None
48971,"2706 Rachel Passage Apt. 038
North Richardberg, MO 45732",5950,53,Residential,7,Poor,Wood,"Alarms, Extinguishers","Elevator, Wide Doorways, Ramps",None,Retail,Occupied,Asbestos
48972,"776 Angela Lodge Suite 279
Richardchester, IA 68618",4727,45,Residential,6,Fair,Wood,Sprinklers,"Elevator, Wide Doorways, None",None,Residential,Occupied,Mold
48973,"Unit 8282 Box 3316
DPO AA 83034",6841,59,Residential,9,Excellent,Wood,"Alarms, Sprinklers, Extinguishers",Wide Doorways,Nice south.,Residential,Occupied,None
48974,"496 Spencer Court
East Andrewville, NC 87007",9379,87,Industrial,1,Excellent,Steel,Sprinklers,"Elevator, Ramps",By decide per.,Warehouse,Occupied,None
48975,"96801 Gilmore Track Suite 577
Lake Kennethland, OR 98199",4077,47,Residential,6,Good,Steel,"Extinguishers, Alarms, Sprinklers","Elevator, Wide Doorways, Ramps, None",Office station.,Residential,Occupied,Asbestos
48976,"2782 Justin Views Suite 154
New Robertchester, AK 96068",7631,10,Commercial,7,Good,Concrete,"Sprinklers, Extinguishers, Alarms","None, Ramps, Wide Doorways, Elevator",None,Retail,Occupied,None
48977,"628 Henderson Isle Apt. 243
Terryside, VA 14212",9742,22,Residential,7,Good,Wood,Extinguishers,Ramps,Hand wall.,Residential,Occupied,None
48978,"9075 Melanie Streets
Tamaraview, AR 21924",1860,48,Commercial,2,Fair,Brick,"Extinguishers, Alarms","None, Wide Doorways, Elevator",It seat notice.,Residential,Vacant,Mold
48979,"33304 Amy Light Apt. 820
Lopeztown, IL 28209",9242,59,Commercial,6,Good,Steel,"Extinguishers, Sprinklers, Alarms","None, Elevator, Ramps, Wide Doorways",None,Retail,Occupied,Asbestos
48980,"7157 David Avenue Suite 380
Greenchester, TN 07816",2459,81,Commercial,6,Poor,Steel,"Extinguishers, Alarms, Sprinklers","Elevator, None, Ramps",None,Warehouse,Vacant,None
48981,"7117 Julie River Apt. 289
North Jamie, SC 31900",5221,73,Residential,5,Fair,Brick,"Alarms, Extinguishers","Wide Doorways, Ramps",Black American important.,Office,Vacant,Lead Paint
48982,"256 Erin Plaza
Daniellemouth, DC 46598",7314,17,Residential,7,Poor,Brick,"Extinguishers, Sprinklers","Wide Doorways, None, Elevator",Follow onto present.,Office,Vacant,Lead Paint
48983,"41851 Alvarez Expressway
East Ronnie, MD 25521",8020,50,Industrial,2,Poor,Wood,Sprinklers,"Ramps, Elevator, None",None,Retail,Vacant,Asbestos
48984,"826 Lauren Prairie
Reynoldsmouth, MO 43054",3138,97,Industrial,3,Poor,Steel,"Extinguishers, Alarms","Elevator, Ramps, Wide Doorways",None,Warehouse,Vacant,None
48985,"45955 Welch Walk Apt. 211
Ashleymouth, NY 71547",2886,96,Residential,9,Excellent,Wood,Sprinklers,"Elevator, Ramps, Wide Doorways, None",None,Office,Occupied,None
48986,"750 Martinez Mountain Suite 296
Port Allison, KY 53802",8002,12,Residential,10,Fair,Brick,"Extinguishers, Sprinklers","Elevator, Ramps, Wide Doorways",None,Office,Vacant,None
48987,"509 David Knoll Suite 908
Daisytown, ND 78055",9271,15,Residential,3,Fair,Brick,Sprinklers,"Elevator, Wide Doorways, Ramps, None",There ground.,Office,Vacant,None
48988,"104 Connor Ferry
Julieton, AK 42889",6219,14,Residential,2,Excellent,Wood,"Sprinklers, Alarms","Ramps, Elevator, Wide Doorways",Edge figure together.,Retail,Vacant,Mold
48989,"423 Farrell Highway Suite 109
New Georgefort, IL 90765",9270,43,Industrial,4,Poor,Steel,"Sprinklers, Alarms","Wide Doorways, None, Ramps",None,Retail,Occupied,Asbestos
48990,"778 Lori Circles
Lopeztown, VA 76231",597,81,Commercial,9,Good,Brick,"Sprinklers, Extinguishers","Elevator, Wide Doorways, None, Ramps",None,Office,Occupied,Mold
48991,"88825 Stark Falls
East Johnnymouth, OR 48845",3265,36,Residential,8,Poor,Concrete,"Sprinklers, Extinguishers","None, Elevator",None,Retail,Occupied,Asbestos
48992,"USCGC Miles
FPO AP 88991",4019,13,Industrial,9,Poor,Brick,"Extinguishers, Alarms",Elevator,Defense economy.,Retail,Vacant,Lead Paint
48993,"722 Christine Port
West Jenny, NJ 26713",3756,71,Residential,8,Fair,Brick,Alarms,"Ramps, Wide Doorways",None,Office,Vacant,Lead Paint
48994,"459 Susan Port Apt. 202
New Robinside, TN 58158",4998,44,Industrial,1,Poor,Concrete,"Alarms, Sprinklers","Ramps, Wide Doorways, None",None,Retail,Vacant,None
48995,"8625 Jordan Mountain Apt. 435
West Andrewshire, AK 18186",9385,51,Commercial,9,Poor,Wood,"Alarms, Extinguishers, Sprinklers","Wide Doorways, None, Elevator, Ramps",None,Warehouse,Occupied,None
48996,"515 Silva Fords
Townsendton, AK 83537",8676,66,Residential,4,Good,Brick,"Sprinklers, Alarms, Extinguishers","Elevator, Wide Doorways",Property election.,Residential,Occupied,None
48997,"94185 Cheryl Turnpike Suite 945
New Kimberlyburgh, ID 80727",9048,59,Residential,1,Excellent,Wood,"Sprinklers, Extinguishers, Alarms","Wide Doorways, Ramps, None",Recently drop.,Office,Occupied,Lead Paint
48998,"Unit 2540 Box 8676
DPO AE 53291",6608,79,Commercial,9,Fair,Wood,"Extinguishers, Sprinklers, Alarms",Elevator,None,Residential,Vacant,Mold
48999,"0700 James Courts Apt. 500
East Robertport, UT 47038",3037,9,Industrial,4,Excellent,Wood,"Sprinklers, Extinguishers, Alarms","Ramps, Wide Doorways, Elevator, None",None,Retail,Vacant,Lead Paint
49000,"6868 Jessica Springs Apt. 776
Kennethtown, AZ 67251",4233,35,Commercial,6,Poor,Steel,"Sprinklers, Extinguishers, Alarms","Elevator, Wide Doorways, None",None,Warehouse,Vacant,None
49001,"489 Moore Port Apt. 744
Jonesland, MA 85665",9931,86,Commercial,2,Excellent,Steel,Alarms,"Elevator, None",None,Retail,Occupied,Asbestos
49002,"Unit 1522 Box 9488
DPO AP 43975",9124,44,Industrial,7,Excellent,Steel,"Extinguishers, Sprinklers","Elevator, Wide Doorways, None, Ramps",None,Warehouse,Vacant,None
49003,"99544 Michael Stream
Jorgehaven, WA 53496",4218,76,Industrial,8,Poor,Brick,Alarms,None,None,Office,Vacant,None
49004,"0077 Sarah Estates Suite 770
New Terristad, SD 75221",2028,68,Residential,8,Excellent,Wood,"Sprinklers, Alarms","Elevator, Wide Doorways, None",None,Residential,Occupied,None
49005,"8881 Stephanie Inlet
East Melody, HI 55730",9215,41,Commercial,9,Fair,Steel,"Sprinklers, Extinguishers, Alarms","Elevator, Ramps, None",None,Warehouse,Occupied,Mold
49006,"2905 Smith Mountain Apt. 946
Navarrostad, MO 32579",9059,87,Commercial,7,Good,Concrete,Sprinklers,"Elevator, Ramps, None",Yard law.,Retail,Occupied,Asbestos
49007,"8098 Anderson Drive Suite 672
North Jasminebury, ME 00995",1116,72,Residential,10,Good,Brick,"Sprinklers, Alarms","Ramps, Wide Doorways, None, Elevator",None,Retail,Vacant,None
49008,"84479 Mendez Greens
Lake Rhondaland, OR 18763",9001,7,Commercial,7,Good,Brick,"Sprinklers, Extinguishers",Elevator,Add let.,Warehouse,Vacant,Mold
49009,"PSC 4449, Box 3795
APO AE 84065",7095,74,Commercial,1,Poor,Wood,"Sprinklers, Extinguishers","Elevator, Wide Doorways, None, Ramps",Film billion.,Warehouse,Occupied,None
49010,"13788 Holland Drives Apt. 582
Susanshire, IA 77051",2343,14,Industrial,6,Poor,Wood,"Extinguishers, Sprinklers",Ramps,Report difficult war idea.,Office,Vacant,None
49011,"170 Berger Track Apt. 057
Port Jason, MD 87267",9941,5,Industrial,9,Excellent,Wood,Extinguishers,"Elevator, Ramps, Wide Doorways, None",None,Office,Occupied,None
49012,"87348 Young Unions Suite 954
Guerreroville, NC 74569",7437,73,Commercial,2,Excellent,Brick,"Alarms, Extinguishers, Sprinklers","None, Ramps, Wide Doorways",None,Warehouse,Occupied,None
49013,"5326 Davis River
Port Tammieborough, HI 71166",4057,56,Commercial,4,Good,Concrete,"Extinguishers, Sprinklers, Alarms","Elevator, Wide Doorways, Ramps, None",None,Retail,Occupied,Lead Paint
49014,"038 Johnson Crossing Apt. 115
Kaitlynhaven, TN 12233",3840,23,Industrial,8,Poor,Steel,"Alarms, Extinguishers",None,None,Residential,Occupied,None
49015,"289 Payne Loaf
Michaelbury, VA 43668",3227,9,Residential,8,Excellent,Concrete,"Sprinklers, Extinguishers","None, Ramps, Wide Doorways",Window decide.,Warehouse,Vacant,None
49016,"161 Miles Estates
West Timothyhaven, WY 53383",3898,63,Commercial,1,Fair,Steel,Extinguishers,"Wide Doorways, Elevator, None, Ramps",None,Office,Occupied,Mold
49017,"Unit 1312 Box 5461
DPO AA 74074",9026,14,Industrial,4,Fair,Steel,"Extinguishers, Alarms","Ramps, Elevator",Ask air.,Warehouse,Vacant,None
49018,"Unit 4171 Box 1104
DPO AP 07732",9662,99,Commercial,2,Poor,Concrete,"Alarms, Extinguishers",Ramps,Play town feel.,Warehouse,Occupied,Asbestos
49019,"550 Brett Dale Suite 822
South Christineborough, MO 07472",5301,99,Commercial,7,Good,Concrete,Extinguishers,"None, Ramps",None,Residential,Occupied,None
49020,"0594 Wilson Extension Apt. 383
Nicholasside, IL 40636",1538,81,Industrial,5,Excellent,Wood,"Extinguishers, Sprinklers","None, Elevator, Wide Doorways",Ball buy third.,Retail,Vacant,None
49021,"17545 Thomas Mountains Apt. 782
North Aaronfort, MN 79141",3082,85,Commercial,8,Good,Steel,"Extinguishers, Sprinklers","Wide Doorways, Ramps, None",None,Residential,Vacant,None
49022,"51963 Wilson Lakes
Juliechester, MN 26482",7222,93,Commercial,9,Excellent,Wood,Sprinklers,"None, Wide Doorways, Ramps",None,Residential,Vacant,None
49023,"Unit 9479 Box 4566
DPO AP 64140",729,38,Industrial,4,Good,Steel,Sprinklers,Wide Doorways,None,Office,Occupied,Mold
49024,"037 Brenda Mews
North Destiny, FL 32230",1705,19,Residential,1,Poor,Wood,Extinguishers,"Wide Doorways, Ramps, None, Elevator",Should seat voice.,Residential,Vacant,None
49025,"997 Kathleen Brooks Apt. 501
South Elijahshire, NH 59524",7259,97,Residential,2,Fair,Brick,Extinguishers,"Ramps, Elevator, Wide Doorways, None",None,Residential,Vacant,Lead Paint
49026,"0763 Douglas Hills Suite 849
South Lisa, NM 14414",1137,78,Industrial,3,Poor,Wood,Alarms,"Ramps, Elevator",None,Office,Vacant,None
49027,"56098 Martin Keys
Russoville, AL 99036",9486,81,Industrial,7,Poor,Steel,"Alarms, Extinguishers","Elevator, None",None,Retail,Occupied,Asbestos
49028,"292 Tommy Manors
New Mary, MO 40898",1041,5,Residential,5,Excellent,Brick,"Alarms, Sprinklers",Ramps,None,Residential,Occupied,Lead Paint
49029,"524 Jacobs Field
Duncantown, ME 70001",2974,16,Industrial,3,Excellent,Wood,Extinguishers,Elevator,None,Residential,Occupied,Asbestos
49030,"949 Ochoa Mill
Michaelfort, DE 12530",3390,77,Industrial,10,Good,Steel,"Sprinklers, Extinguishers, Alarms","None, Wide Doorways, Elevator, Ramps",None,Office,Occupied,None
49031,"4911 Curtis Harbor Apt. 199
East Jennifer, PA 94404",4066,30,Residential,7,Good,Brick,"Sprinklers, Extinguishers","None, Elevator, Wide Doorways",Unit central.,Warehouse,Occupied,None
49032,"9899 Brooke Ferry Apt. 422
North James, NV 28817",6738,86,Commercial,3,Good,Steel,"Sprinklers, Extinguishers, Alarms","Ramps, None, Wide Doorways",Save job.,Warehouse,Vacant,None
49033,"32044 Lester Burg
Keithview, AZ 03944",8045,49,Commercial,2,Good,Wood,Extinguishers,"None, Ramps, Wide Doorways, Elevator",None,Retail,Occupied,None
49034,"697 Koch Course Suite 935
Victoriaborough, NM 45486",7201,73,Commercial,6,Fair,Brick,Alarms,"Ramps, None",Seat per than form.,Retail,Occupied,Asbestos
49035,"277 Alice Row
Lake Ruth, NM 65388",8270,100,Residential,10,Poor,Wood,"Sprinklers, Extinguishers, Alarms","None, Ramps",None,Residential,Occupied,None
49036,"451 Rios Mountain
Lake Jamesside, AZ 64428",800,69,Residential,5,Excellent,Brick,"Alarms, Sprinklers, Extinguishers",Ramps,It four surface.,Office,Vacant,None
49037,"550 Moody Ramp Suite 454
Lechester, GA 89914",9285,96,Residential,8,Fair,Concrete,"Alarms, Extinguishers, Sprinklers",Ramps,Claim they young.,Warehouse,Vacant,None
49038,"793 Murphy Avenue Suite 204
Sandersview, DE 97598",3628,22,Industrial,8,Fair,Concrete,Alarms,"Elevator, Ramps, None, Wide Doorways",None,Warehouse,Occupied,Lead Paint
49039,"Unit 3738 Box 3927
DPO AA 06261",6072,15,Residential,4,Good,Steel,"Extinguishers, Sprinklers","None, Wide Doorways, Ramps, Elevator",Such personal church.,Office,Occupied,None
49040,"752 Kemp Ville Suite 225
North Harryburgh, KY 82512",8224,23,Residential,9,Fair,Wood,Extinguishers,"Wide Doorways, None",None,Warehouse,Occupied,None
49041,"5731 Joshua Knolls
East Russell, SD 07897",5073,20,Commercial,7,Fair,Concrete,"Extinguishers, Sprinklers","Ramps, Elevator",Authority perform look.,Residential,Occupied,Asbestos
49042,"71889 Jason Skyway Suite 475
Whitefort, MN 99816",6692,13,Commercial,7,Good,Wood,"Alarms, Extinguishers, Sprinklers","Wide Doorways, None, Elevator, Ramps",None,Residential,Vacant,None
49043,"6253 Perez Keys Suite 387
Sandovalborough, WY 42314",7455,83,Residential,5,Poor,Wood,Sprinklers,"None, Wide Doorways, Elevator, Ramps",While idea and.,Retail,Vacant,Lead Paint
49044,"012 Carolyn Ferry Apt. 533
Hollandbury, WI 34522",2217,72,Industrial,6,Fair,Wood,"Alarms, Sprinklers, Extinguishers","Ramps, Elevator, Wide Doorways",None,Residential,Vacant,None
49045,"875 Jones Shoal Suite 996
South Donnabury, LA 43920",1950,15,Industrial,4,Good,Brick,Extinguishers,"Ramps, Elevator, Wide Doorways",Decide money.,Warehouse,Vacant,Lead Paint
49046,"51329 Erica Trail Apt. 600
Port Steveside, RI 04394",2237,64,Industrial,2,Excellent,Steel,"Extinguishers, Alarms","Elevator, None, Ramps",Community.,Retail,Vacant,None
49047,"7091 Williams Shores
North Lorichester, PA 75894",8451,62,Commercial,4,Excellent,Steel,Sprinklers,"Ramps, Wide Doorways, Elevator, None",Century business factor.,Retail,Occupied,Asbestos
49048,"32546 Davis Mission Apt. 396
Kellyville, ME 62148",6592,30,Commercial,10,Good,Brick,"Sprinklers, Alarms, Extinguishers","Wide Doorways, Elevator, None",Could could.,Retail,Occupied,Lead Paint
49049,"47368 Howell Plains Suite 589
Lake Wayneville, ND 43663",1413,48,Residential,8,Fair,Steel,"Alarms, Extinguishers, Sprinklers","None, Wide Doorways, Ramps, Elevator",None,Warehouse,Occupied,Lead Paint
49050,"57651 Powell Spurs
Jonathanborough, SC 29055",3636,68,Commercial,5,Fair,Wood,"Sprinklers, Alarms, Extinguishers","Elevator, Ramps, None",News.,Office,Vacant,None
49051,"PSC 0608, Box 1136
APO AA 88818",2876,23,Industrial,4,Poor,Concrete,Sprinklers,"Wide Doorways, Elevator",None,Retail,Occupied,None
49052,"52362 Gutierrez Pike Apt. 856
Odonnellmouth, OR 96475",7890,43,Commercial,2,Good,Wood,"Sprinklers, Extinguishers",Wide Doorways,Music ok write.,Warehouse,Vacant,Mold
49053,"330 Jones Freeway Apt. 570
Brandonton, VT 28858",3413,16,Residential,4,Good,Concrete,"Sprinklers, Extinguishers","Elevator, Ramps",None,Office,Occupied,None
49054,"19383 Jason Grove
Penamouth, NY 57223",9979,64,Residential,7,Good,Concrete,"Extinguishers, Sprinklers, Alarms","Wide Doorways, Elevator, Ramps",Cell.,Residential,Occupied,None
49055,"560 Holloway Glens
North Meghanburgh, TN 32818",8348,33,Residential,10,Poor,Wood,"Alarms, Extinguishers, Sprinklers","Ramps, Elevator, None",Baby prevent huge.,Retail,Vacant,None
49056,"8616 Sheryl Dam Suite 651
Michaelbury, TN 57435",7600,77,Industrial,7,Good,Concrete,"Alarms, Sprinklers, Extinguishers","Elevator, Wide Doorways, Ramps",Statement beat however.,Residential,Occupied,None
49057,"Unit 3070 Box 8816
DPO AE 39661",778,66,Commercial,7,Fair,Concrete,"Extinguishers, Sprinklers","Ramps, Wide Doorways",None,Office,Occupied,None
49058,"636 Henderson Lock
South Jonathan, LA 16244",4278,37,Industrial,4,Excellent,Concrete,Alarms,"Wide Doorways, None, Ramps",Employee camera interest.,Residential,Vacant,Asbestos
49059,"2313 Brandon Ferry
Marymouth, RI 48273",4535,84,Industrial,3,Poor,Brick,"Extinguishers, Alarms, Sprinklers","None, Elevator",None,Office,Occupied,Lead Paint
49060,"52903 Bradley Gardens Suite 011
Mcgrathtown, ME 45956",2587,88,Industrial,3,Fair,Wood,"Extinguishers, Alarms",Elevator,After do walk.,Retail,Occupied,None
49061,"66089 Brian Plains
Smithville, WV 02193",3473,68,Commercial,10,Fair,Steel,"Alarms, Extinguishers, Sprinklers",Wide Doorways,Scene pick actually.,Office,Vacant,None
49062,"167 Mcbride Neck
Harpershire, UT 52199",7335,83,Commercial,9,Poor,Wood,Sprinklers,"Ramps, None, Elevator, Wide Doorways",Around management fight.,Office,Occupied,Mold
49063,"63806 Matthew Club Apt. 765
Barrystad, MA 20532",9201,28,Industrial,8,Excellent,Steel,"Sprinklers, Alarms, Extinguishers","None, Elevator",None,Retail,Vacant,None
49064,"824 Jacob Overpass Apt. 293
New Laura, NE 12613",4696,99,Industrial,7,Poor,Brick,"Alarms, Extinguishers, Sprinklers",Elevator,Recently she billion space.,Office,Vacant,None
49065,"30261 Nicholson Plain
Robertsonshire, UT 28522",3298,94,Residential,9,Excellent,Steel,"Sprinklers, Extinguishers",None,None,Warehouse,Vacant,Lead Paint
49066,"26634 Robinson Valleys
Bairdmouth, MT 12674",4682,66,Residential,4,Excellent,Steel,Sprinklers,Ramps,None,Office,Vacant,None
49067,"6823 Wayne Parkway
New Jenniferview, DE 65474",7179,83,Commercial,9,Fair,Steel,"Sprinklers, Extinguishers",Ramps,Defense establish herself.,Office,Occupied,None
49068,"8490 Matthew Island
South Gregoryport, AK 00569",5844,68,Commercial,7,Fair,Concrete,"Alarms, Extinguishers",None,Structure.,Retail,Occupied,None
49069,"337 Stacy Plains
West Dominique, AL 83459",572,63,Residential,10,Excellent,Steel,"Sprinklers, Extinguishers, Alarms","Wide Doorways, Elevator, None",None,Retail,Occupied,Lead Paint
49070,"76254 Dwayne Junction Suite 979
New Dawnhaven, SD 76292",3565,75,Commercial,9,Excellent,Wood,"Alarms, Sprinklers, Extinguishers","Wide Doorways, Elevator, None, Ramps",None,Office,Occupied,Mold
49071,"3291 Chan Streets Suite 964
Lambview, MN 45605",3802,9,Residential,2,Fair,Concrete,"Sprinklers, Alarms","Wide Doorways, Ramps, None, Elevator",None,Residential,Occupied,None
49072,"93143 Malone Estates
Rogersburgh, OR 09957",8081,16,Residential,8,Good,Brick,"Sprinklers, Alarms, Extinguishers","Elevator, Ramps, None, Wide Doorways",Final kid push.,Warehouse,Vacant,None
49073,"Unit 2089 Box 0485
DPO AP 44893",5979,42,Commercial,4,Fair,Brick,Alarms,"None, Elevator, Wide Doorways",About course whether.,Retail,Vacant,None
49074,"98838 Figueroa Run
North Williamton, CO 87012",1541,11,Residential,1,Poor,Wood,"Extinguishers, Alarms",Wide Doorways,Public today.,Residential,Occupied,Lead Paint
49075,"892 Greer Key Suite 169
Port Rileyview, MN 41846",7513,85,Industrial,6,Excellent,Steel,Alarms,"None, Wide Doorways, Elevator",Behind.,Retail,Occupied,Lead Paint
49076,"5635 Garcia Shore Apt. 750
Haasfurt, MN 58301",8173,14,Residential,5,Good,Steel,"Alarms, Sprinklers","None, Elevator, Ramps, Wide Doorways",Specific film beat individual.,Retail,Occupied,None
49077,"551 Katelyn Parkway
Tracyport, CT 02407",2260,63,Industrial,8,Excellent,Wood,Extinguishers,"Ramps, None, Elevator, Wide Doorways",Cell.,Retail,Vacant,Asbestos
49078,"93686 Christina Harbor
Merrittfurt, KS 92118",3838,16,Industrial,4,Good,Brick,"Sprinklers, Extinguishers","None, Elevator",None,Residential,Vacant,None
49079,"567 Trevor Rest Suite 499
South Dale, IL 51609",6417,33,Residential,8,Good,Steel,Sprinklers,Wide Doorways,Staff increase.,Residential,Occupied,Lead Paint
49080,"04268 Spencer Harbor Apt. 084
Bruceside, WA 81460",4155,3,Industrial,8,Fair,Brick,"Extinguishers, Sprinklers, Alarms",Elevator,None,Retail,Occupied,None
49081,"7195 Troy Cliff Apt. 499
East Rachel, OK 84254",1193,23,Residential,7,Fair,Brick,"Alarms, Sprinklers, Extinguishers","None, Wide Doorways, Ramps",College chair four.,Residential,Occupied,Lead Paint
49082,"2638 Mark Plain
Port Jamesberg, AR 25394",5065,84,Industrial,4,Good,Concrete,"Alarms, Sprinklers","Wide Doorways, Elevator, None, Ramps",Mind they Mrs.,Office,Occupied,Lead Paint
49083,"465 Steve Mission
Martinezberg, NC 17772",2373,88,Industrial,3,Excellent,Brick,"Extinguishers, Sprinklers, Alarms","Elevator, None, Ramps",None,Retail,Occupied,None
49084,"7589 Woods Island Apt. 400
Williamsberg, OK 49986",8522,41,Commercial,8,Excellent,Concrete,"Sprinklers, Alarms, Extinguishers","Ramps, Wide Doorways",None,Warehouse,Vacant,Lead Paint
49085,"USS Thomas
FPO AP 64180",5365,11,Commercial,7,Fair,Steel,Extinguishers,None,None,Residential,Vacant,Asbestos
49086,"USNS Kelly
FPO AE 50405",3842,57,Industrial,8,Good,Brick,"Extinguishers, Sprinklers, Alarms","None, Wide Doorways, Ramps",Attack resource price she.,Residential,Vacant,None
49087,"221 Karla Brooks Apt. 547
East Anthonyburgh, KY 70834",5541,78,Industrial,9,Excellent,Steel,"Extinguishers, Sprinklers","Elevator, Ramps, None, Wide Doorways",None,Retail,Occupied,None
49088,"3293 Danny Point
Mcmillanside, OK 04032",9339,84,Industrial,6,Excellent,Steel,Extinguishers,"Wide Doorways, None, Ramps, Elevator",None,Residential,Occupied,Mold
49089,"9448 Dixon Station
Lloydstad, IL 00950",2204,29,Commercial,10,Poor,Steel,"Extinguishers, Sprinklers, Alarms","Ramps, Elevator, None, Wide Doorways",Put south down.,Office,Vacant,Asbestos
49090,"5969 Harrison Ways
Powellshire, NC 05675",7992,76,Commercial,3,Excellent,Brick,Sprinklers,"Ramps, Elevator, Wide Doorways, None",None,Retail,Vacant,None
49091,"575 Kristen Greens Apt. 856
Amandafurt, IN 51380",2714,13,Industrial,5,Fair,Brick,"Sprinklers, Alarms","Elevator, None, Wide Doorways, Ramps",When who.,Warehouse,Occupied,Lead Paint
